,Date,ISIN,Security Description,Indicative Value Of Aggregate Holding Of FPIS (INR CR#),Outstanding Position Of Govt# Securities (INR CR#),Sec Holdings (%)
0,14-Feb-2020,IN0020180454,07.26 GS 2029,6904.83600,118830.80100,5.81
1,14-Feb-2020,IN0020110022,07.80 GS 2021,3911.63900,67492.66100,5.80
2,14-Feb-2020,IN0020190396,06.18 GS 2024,1455.50000,27873.84700,5.22
3,14-Feb-2020,IN0020150093,07.59 GS 2026,5811.82200,119000.00000,4.88
4,14-Feb-2020,IN0020070051,08.13 GS 2022,3433.10000,70495.28000,4.87
5,14-Feb-2020,IN0020140045,08.40 GS 2024,4075.67800,84426.00000,4.83
6,14-Feb-2020,IN0020170026,06.79 GS 2027,5818.52400,121000.00000,4.81
7,14-Feb-2020,IN0020020072,08.35 GS 2022,3674.19000,77000.00000,4.77
8,14-Feb-2020,IN0020140060,08.15 GS 2026,3591.08400,82963.84600,4.33
9,14-Feb-2020,IN0020110030,08.79 GS 2021,3587.72900,83000.00000,4.32
10,14-Feb-2020,IN0020190099,06.17 GS 2021,1385.00000,35000.00000,3.96
11,14-Feb-2020,IN0020190065,07.57 GS 2033,3297.77500,83506.57400,3.95
12,14-Feb-2020,IN0020160050,06.84 GS 2022,3774.66600,99000.00000,3.81
13,14-Feb-2020,IN0020120039,08.33 GS 2026,3203.26000,87000.00000,3.68
14,14-Feb-2020,IN0020190024,07.62 GS 2039,1278.63700,38150.90300,3.35
15,14-Feb-2020,IN0020070069,08.28 GS 2027,2819.69300,90000.72100,3.13
16,14-Feb-2020,IN0020020106,07.95 GS 2032,3666.97000,121000.00000,3.03
17,14-Feb-2020,IN0020150028,07.88 GS 2030,2661.66100,89000.00000,2.99
18,14-Feb-2020,IN0020160019,07.61 GS 2030,2941.94300,100989.43800,2.91
19,14-Feb-2020,IN0020150069,07.59 GS 2029,2763.48600,96236.79300,2.87
20,14-Feb-2020,IN0020120047,08.20 GS 2025,2427.11000,90000.00000,2.70
21,14-Feb-2020,IN0020140052,08.24 GS 2033,2341.81500,99275.00000,2.36
22,14-Feb-2020,IN0020120054,08.12 GS 2020,1197.69900,53673.54400,2.23
23,14-Feb-2020,IN0020160118,06.79 GS 2029,2479.23000,118801.12300,2.09
24,14-Feb-2020,IN0020110063,08.83 GS 2041,1857.40000,90000.00000,2.06
25,14-Feb-2020,IN0020140029,08.27 GS 2020,1065.50200,53907.57900,1.98
26,14-Feb-2020,IN0020090034,07.35 GS 2024,1123.46600,59653.01900,1.88
27,14-Feb-2020,IN0020170042,06.68 GS 2031,1738.75000,93251.70300,1.86
28,14-Feb-2020,IN0020050012,07.40 GS 2035,1451.50000,99245.00000,1.46
29,14-Feb-2020,IN0020140078,08.17 GS 2044,1249.51500,97000.00000,1.29
30,14-Feb-2020,IN0020120062,08.30 GS 2042,1232.64000,104529.44000,1.18
31,14-Feb-2020,IN0020160035,06.97 GS 2026,846.09300,89743.39300,0.94
32,14-Feb-2020,IN0020150051,07.73 GS 2034,923.79000,100000.00000,0.92
33,14-Feb-2020,IN0020180470,07.00 GS 2021,286.20000,33000.00000,0.87
34,14-Feb-2020,IN0020160100,06.57 GS 2033,545.03000,66655.88700,0.82
35,14-Feb-2020,IN0020070044,08.32 GS 2032,678.80000,89434.05000,0.76
36,14-Feb-2020,IN0020160068,07.06 GS 2046,762.60000,100000.00000,0.76
37,14-Feb-2020,IN0020190040,07.69 GS 2043,250.00000,37000.00000,0.68
38,14-Feb-2020,IN0020100031,08.30 GS 2040,602.25000,90000.00000,0.67
39,14-Feb-2020,IN0020060318,07.94 GS 2021,303.80000,49425.00000,0.61
40,14-Feb-2020,IN0020100015,07.80 GS 2020,307.93000,51181.08800,0.60
41,14-Feb-2020,IN0020150044,08.13 GS 2045,435.00000,98000.00000,0.44
42,14-Feb-2020,IN0020180017,06.65 GS 2020,122.83000,31314.42900,0.39
43,14-Feb-2020,IN0020160092,06.62 GS 2051,207.00000,55000.00000,0.38
44,14-Feb-2020,IN0020070036,08.26 GS 2027,375.60000,97726.61400,0.38
45,14-Feb-2020,IN0020130053,09.20 GS 2030,220.05100,61884.55000,0.36
46,14-Feb-2020,IN0020060086,08.28 GS 2032,255.00000,90687.11000,0.28
47,14-Feb-2020,IN0020030014,06.30 GS 2023,35.00000,13000.00000,0.27
48,14-Feb-2020,IN0020010040,10.25 GS 2021,50.00000,26213.32000,0.19
49,14-Feb-2020,IN0020060045,08.33 GS 2036,139.01000,86000.00000,0.16
50,14-Feb-2020,IN0020030055,06.17 GS 2023,20.50000,14000.00000,0.15
51,14-Feb-2020,IN0020092071,GOI FRB 2020,15.00000,13000.00000,0.12
52,14-Feb-2020,IN0020190032,07.72 GS 2049,50.00000,84000.00000,0.06
53,14-Feb-2020,IN0020040039,07.50 GS 2034,63.50000,99101.13000,0.06
54,14-Feb-2020,IN0020180041,GOI FRB 2031,50.00000,106000.00000,0.05
55,13-Feb-2020,IN0020190362,06.45 GS 2029,5584.55000,95840.15700,5.83
56,13-Feb-2020,IN0020180454,07.26 GS 2029,6493.83600,118830.80100,5.46
57,13-Feb-2020,IN0020190396,06.18 GS 2024,1445.50000,27873.84700,5.19
58,13-Feb-2020,IN0020150093,07.59 GS 2026,5811.82200,119000.00000,4.88
59,13-Feb-2020,IN0020070051,08.13 GS 2022,3433.10000,70495.28000,4.87
60,13-Feb-2020,IN0020140045,08.40 GS 2024,4095.67800,84426.00000,4.85
61,13-Feb-2020,IN0020170026,06.79 GS 2027,5818.52400,121000.00000,4.81
62,13-Feb-2020,IN0020020072,08.35 GS 2022,3674.19000,77000.00000,4.77
63,13-Feb-2020,IN0020140060,08.15 GS 2026,3591.08400,82963.84600,4.33
64,13-Feb-2020,IN0020110030,08.79 GS 2021,3587.72900,83000.00000,4.32
65,13-Feb-2020,IN0020190065,07.57 GS 2033,3347.77500,83506.57400,4.01
66,13-Feb-2020,IN0020120039,08.33 GS 2026,3453.26000,87000.00000,3.97
67,13-Feb-2020,IN0020190099,06.17 GS 2021,1385.00000,35000.00000,3.96
68,13-Feb-2020,IN0020160050,06.84 GS 2022,3769.66600,99000.00000,3.81
69,13-Feb-2020,IN0020190024,07.62 GS 2039,1278.63700,38150.90300,3.35
70,13-Feb-2020,IN0020070069,08.28 GS 2027,2819.69300,90000.72100,3.13
71,13-Feb-2020,IN0020020106,07.95 GS 2032,3666.97000,121000.00000,3.03
72,13-Feb-2020,IN0020150028,07.88 GS 2030,2636.66100,89000.00000,2.96
73,13-Feb-2020,IN0020160019,07.61 GS 2030,2941.94300,100989.43800,2.91
74,13-Feb-2020,IN0020150069,07.59 GS 2029,2743.48600,96236.79300,2.85
75,13-Feb-2020,IN0020120047,08.20 GS 2025,2427.11000,90000.00000,2.70
76,13-Feb-2020,IN0020140052,08.24 GS 2033,2341.81500,99275.00000,2.36
77,13-Feb-2020,IN0020120054,08.12 GS 2020,1197.69900,53673.54400,2.23
78,13-Feb-2020,IN0020160118,06.79 GS 2029,2479.23000,118801.12300,2.09
79,13-Feb-2020,IN0020110063,08.83 GS 2041,1857.40000,90000.00000,2.06
80,13-Feb-2020,IN0020140029,08.27 GS 2020,1065.50200,53907.57900,1.98
81,13-Feb-2020,IN0020090034,07.35 GS 2024,1143.46600,59653.01900,1.92
82,13-Feb-2020,IN0020170042,06.68 GS 2031,1738.75000,93251.70300,1.86
83,13-Feb-2020,IN0020050012,07.40 GS 2035,1451.50000,99245.00000,1.46
84,13-Feb-2020,IN0020140078,08.17 GS 2044,1249.51500,97000.00000,1.29
85,13-Feb-2020,IN0020120062,08.30 GS 2042,1232.64000,104529.44000,1.18
86,13-Feb-2020,IN0020160035,06.97 GS 2026,846.09300,89743.39300,0.94
87,13-Feb-2020,IN0020150051,07.73 GS 2034,923.79000,100000.00000,0.92
88,13-Feb-2020,IN0020180470,07.00 GS 2021,286.20000,33000.00000,0.87
89,13-Feb-2020,IN0020160100,06.57 GS 2033,545.03000,66655.88700,0.82
90,13-Feb-2020,IN0020160068,07.06 GS 2046,762.60000,100000.00000,0.76
91,13-Feb-2020,IN0020070044,08.32 GS 2032,678.80000,89434.05000,0.76
92,13-Feb-2020,IN0020190040,07.69 GS 2043,250.00000,37000.00000,0.68
93,13-Feb-2020,IN0020100031,08.30 GS 2040,602.25000,90000.00000,0.67
94,13-Feb-2020,IN0020060318,07.94 GS 2021,303.80000,49425.00000,0.61
95,13-Feb-2020,IN0020100015,07.80 GS 2020,307.93000,51181.08800,0.60
96,13-Feb-2020,IN0020180017,06.65 GS 2020,159.30000,31314.42900,0.51
97,13-Feb-2020,IN0020080050,06.83 GS 2039,52.50000,13000.00000,0.40
98,13-Feb-2020,IN0020070036,08.26 GS 2027,375.60000,97726.61400,0.38
99,13-Feb-2020,IN0020160092,06.62 GS 2051,207.00000,55000.00000,0.38
100,13-Feb-2020,IN0020130053,09.20 GS 2030,220.05100,61884.55000,0.36
101,13-Feb-2020,IN0020060086,08.28 GS 2032,255.00000,90687.11000,0.28
102,13-Feb-2020,IN0020030014,06.30 GS 2023,35.00000,13000.00000,0.27
103,13-Feb-2020,IN0020010040,10.25 GS 2021,50.00000,26213.32000,0.19
104,13-Feb-2020,IN0020060045,08.33 GS 2036,139.01000,86000.00000,0.16
105,13-Feb-2020,IN0020030055,06.17 GS 2023,20.50000,14000.00000,0.15
106,13-Feb-2020,IN0020092071,GOI FRB 2020,15.00000,13000.00000,0.12
107,13-Feb-2020,IN0020190032,07.72 GS 2049,50.00000,84000.00000,0.06
108,13-Feb-2020,IN0020040039,07.50 GS 2034,63.50000,99101.13000,0.06
109,13-Feb-2020,IN0020180041,GOI FRB 2031,50.00000,106000.00000,0.05
110,12-Feb-2020,IN0020110022,07.80 GS 2021,3958.63900,67492.66100,5.87
111,12-Feb-2020,IN0020180454,07.26 GS 2029,6438.83600,118830.80100,5.42
112,12-Feb-2020,IN0020150093,07.59 GS 2026,5811.82200,119000.00000,4.88
113,12-Feb-2020,IN0020070051,08.13 GS 2022,3433.10000,70495.28000,4.87
114,12-Feb-2020,IN0020140045,08.40 GS 2024,4095.67800,84426.00000,4.85
115,12-Feb-2020,IN0020170026,06.79 GS 2027,5818.52400,121000.00000,4.81
116,12-Feb-2020,IN0020020072,08.35 GS 2022,3674.19000,77000.00000,4.77
117,12-Feb-2020,IN0020190396,06.18 GS 2024,1230.50000,27873.84700,4.41
118,12-Feb-2020,IN0020140060,08.15 GS 2026,3591.08400,82963.84600,4.33
119,12-Feb-2020,IN0020110030,08.79 GS 2021,3587.72900,83000.00000,4.32
120,12-Feb-2020,IN0020120039,08.33 GS 2026,3503.26000,87000.00000,4.03
121,12-Feb-2020,IN0020190065,07.57 GS 2033,3302.77500,83506.57400,3.96
122,12-Feb-2020,IN0020190099,06.17 GS 2021,1385.00000,35000.00000,3.96
123,12-Feb-2020,IN0020160050,06.84 GS 2022,3869.66600,99000.00000,3.91
124,12-Feb-2020,IN0020190024,07.62 GS 2039,1278.63700,38150.90300,3.35
125,12-Feb-2020,IN0020070069,08.28 GS 2027,2819.69300,90000.72100,3.13
126,12-Feb-2020,IN0020020106,07.95 GS 2032,3666.97000,121000.00000,3.03
127,12-Feb-2020,IN0020150028,07.88 GS 2030,2636.66100,89000.00000,2.96
128,12-Feb-2020,IN0020160019,07.61 GS 2030,2941.94300,100989.43800,2.91
129,12-Feb-2020,IN0020120047,08.20 GS 2025,2427.11000,90000.00000,2.70
130,12-Feb-2020,IN0020150069,07.59 GS 2029,2273.48600,96236.79300,2.36
131,12-Feb-2020,IN0020120054,08.12 GS 2020,1197.69900,53673.54400,2.23
132,12-Feb-2020,IN0020110063,08.83 GS 2041,1857.40000,90000.00000,2.06
133,12-Feb-2020,IN0020140029,08.27 GS 2020,1065.50200,53907.57900,1.98
134,12-Feb-2020,IN0020090034,07.35 GS 2024,1163.46600,59653.01900,1.95
135,12-Feb-2020,IN0020140052,08.24 GS 2033,1841.81500,99275.00000,1.86
136,12-Feb-2020,IN0020170042,06.68 GS 2031,1738.75000,93251.70300,1.86
137,12-Feb-2020,IN0020110055,08.97 GS 2030,1464.00000,90000.00000,1.63
138,12-Feb-2020,IN0020160118,06.79 GS 2029,1547.83000,118801.12300,1.30
139,12-Feb-2020,IN0020140078,08.17 GS 2044,1249.51500,97000.00000,1.29
140,12-Feb-2020,IN0020120062,08.30 GS 2042,1232.64000,104529.44000,1.18
141,12-Feb-2020,IN0020160035,06.97 GS 2026,846.09300,89743.39300,0.94
142,12-Feb-2020,IN0020150051,07.73 GS 2034,923.79000,100000.00000,0.92
143,12-Feb-2020,IN0020180470,07.00 GS 2021,286.20000,33000.00000,0.87
144,12-Feb-2020,IN0020160100,06.57 GS 2033,545.03000,66655.88700,0.82
145,12-Feb-2020,IN0020070036,08.26 GS 2027,790.20000,97726.61400,0.81
146,12-Feb-2020,IN0020070044,08.32 GS 2032,678.80000,89434.05000,0.76
147,12-Feb-2020,IN0020160068,07.06 GS 2046,762.60000,100000.00000,0.76
148,12-Feb-2020,IN0020190040,07.69 GS 2043,250.00000,37000.00000,0.68
149,12-Feb-2020,IN0020100031,08.30 GS 2040,602.25000,90000.00000,0.67
150,12-Feb-2020,IN0020060318,07.94 GS 2021,303.80000,49425.00000,0.61
151,12-Feb-2020,IN0020100015,07.80 GS 2020,307.93000,51181.08800,0.60
152,12-Feb-2020,IN0020150044,08.13 GS 2045,435.00000,98000.00000,0.44
153,12-Feb-2020,IN0020080050,06.83 GS 2039,52.50000,13000.00000,0.40
154,12-Feb-2020,IN0020160092,06.62 GS 2051,207.00000,55000.00000,0.38
155,12-Feb-2020,IN0020130053,09.20 GS 2030,220.05100,61884.55000,0.36
156,12-Feb-2020,IN0020060086,08.28 GS 2032,255.00000,90687.11000,0.28
157,12-Feb-2020,IN0020030014,06.30 GS 2023,35.00000,13000.00000,0.27
158,12-Feb-2020,IN0020010040,10.25 GS 2021,50.00000,26213.32000,0.19
159,12-Feb-2020,IN0020060045,08.33 GS 2036,139.01000,86000.00000,0.16
160,12-Feb-2020,IN0020030055,06.17 GS 2023,20.50000,14000.00000,0.15
161,12-Feb-2020,IN0020092071,GOI FRB 2020,15.00000,13000.00000,0.12
162,12-Feb-2020,IN0020190032,07.72 GS 2049,50.00000,84000.00000,0.06
163,12-Feb-2020,IN0020040039,07.50 GS 2034,63.50000,99101.13000,0.06
164,12-Feb-2020,IN0020180041,GOI FRB 2031,50.00000,106000.00000,0.05
165,11-Feb-2020,IN0020110022,07.80 GS 2021,3958.63900,67492.66100,5.87
166,11-Feb-2020,IN0020180454,07.26 GS 2029,6438.83600,118830.80100,5.42
167,11-Feb-2020,IN0020140045,08.40 GS 2024,4168.17800,84426.00000,4.94
168,11-Feb-2020,IN0020150093,07.59 GS 2026,5811.82200,119000.00000,4.88
169,11-Feb-2020,IN0020070051,08.13 GS 2022,3433.10000,70495.28000,4.87
170,11-Feb-2020,IN0020170026,06.79 GS 2027,5818.52400,121000.00000,4.81
171,11-Feb-2020,IN0020020072,08.35 GS 2022,3674.19000,77000.00000,4.77
172,11-Feb-2020,IN0020160050,06.84 GS 2022,4365.83100,99000.00000,4.41
173,11-Feb-2020,IN0020190396,06.18 GS 2024,1230.50000,27873.84700,4.41
174,11-Feb-2020,IN0020140060,08.15 GS 2026,3591.08400,82963.84600,4.33
175,11-Feb-2020,IN0020110030,08.79 GS 2021,3587.72900,83000.00000,4.32
176,11-Feb-2020,IN0020120039,08.33 GS 2026,3703.26000,87000.00000,4.26
177,11-Feb-2020,IN0020190065,07.57 GS 2033,3302.77500,83506.57400,3.96
178,11-Feb-2020,IN0020190099,06.17 GS 2021,1385.00000,35000.00000,3.96
179,11-Feb-2020,IN0020190024,07.62 GS 2039,1278.63700,38150.90300,3.35
180,11-Feb-2020,IN0020070069,08.28 GS 2027,2819.69300,90000.72100,3.13
181,11-Feb-2020,IN0020020106,07.95 GS 2032,3666.97000,121000.00000,3.03
182,11-Feb-2020,IN0020150028,07.88 GS 2030,2636.66100,89000.00000,2.96
183,11-Feb-2020,IN0020160019,07.61 GS 2030,2941.94300,100989.43800,2.91
184,11-Feb-2020,IN0020120047,08.20 GS 2025,2427.11000,90000.00000,2.70
185,11-Feb-2020,IN0020120054,08.12 GS 2020,1197.69900,53673.54400,2.23
186,11-Feb-2020,IN0020110063,08.83 GS 2041,1857.40000,90000.00000,2.06
187,11-Feb-2020,IN0020140029,08.27 GS 2020,1065.50200,53907.57900,1.98
188,11-Feb-2020,IN0020090034,07.35 GS 2024,1163.46600,59653.01900,1.95
189,11-Feb-2020,IN0020150069,07.59 GS 2029,1800.98600,96236.79300,1.87
190,11-Feb-2020,IN0020140052,08.24 GS 2033,1841.81500,99275.00000,1.86
191,11-Feb-2020,IN0020170042,06.68 GS 2031,1738.75000,93251.70300,1.86
192,11-Feb-2020,IN0020110055,08.97 GS 2030,1464.00000,90000.00000,1.63
193,11-Feb-2020,IN0020160118,06.79 GS 2029,1547.83000,118801.12300,1.30
194,11-Feb-2020,IN0020140078,08.17 GS 2044,1249.51500,97000.00000,1.29
195,11-Feb-2020,IN0020120062,08.30 GS 2042,1232.64000,104529.44000,1.18
196,11-Feb-2020,IN0020070036,08.26 GS 2027,990.20000,97726.61400,1.01
197,11-Feb-2020,IN0020150051,07.73 GS 2034,923.79000,100000.00000,0.92
198,11-Feb-2020,IN0020180470,07.00 GS 2021,286.20000,33000.00000,0.87
199,11-Feb-2020,IN0020160035,06.97 GS 2026,736.09300,89743.39300,0.82
200,11-Feb-2020,IN0020160100,06.57 GS 2033,545.03000,66655.88700,0.82
201,11-Feb-2020,IN0020160068,07.06 GS 2046,762.60000,100000.00000,0.76
202,11-Feb-2020,IN0020070044,08.32 GS 2032,678.80000,89434.05000,0.76
203,11-Feb-2020,IN0020190040,07.69 GS 2043,250.00000,37000.00000,0.68
204,11-Feb-2020,IN0020100031,08.30 GS 2040,602.25000,90000.00000,0.67
205,11-Feb-2020,IN0020060318,07.94 GS 2021,303.80000,49425.00000,0.61
206,11-Feb-2020,IN0020100015,07.80 GS 2020,307.93000,51181.08800,0.60
207,11-Feb-2020,IN0020150044,08.13 GS 2045,435.00000,98000.00000,0.44
208,11-Feb-2020,IN0020080050,06.83 GS 2039,52.50000,13000.00000,0.40
209,11-Feb-2020,IN0020160092,06.62 GS 2051,207.00000,55000.00000,0.38
210,11-Feb-2020,IN0020130053,09.20 GS 2030,220.05100,61884.55000,0.36
211,11-Feb-2020,IN0020060086,08.28 GS 2032,255.00000,90687.11000,0.28
212,11-Feb-2020,IN0020030014,06.30 GS 2023,35.00000,13000.00000,0.27
213,11-Feb-2020,IN0020010040,10.25 GS 2021,50.00000,26213.32000,0.19
214,11-Feb-2020,IN0020060045,08.33 GS 2036,139.01000,86000.00000,0.16
215,11-Feb-2020,IN0020092071,GOI FRB 2020,15.00000,13000.00000,0.12
216,11-Feb-2020,IN0020030055,06.17 GS 2023,10.70000,14000.00000,0.08
217,11-Feb-2020,IN0020040039,07.50 GS 2034,63.50000,99101.13000,0.06
218,11-Feb-2020,IN0020190032,07.72 GS 2049,50.00000,84000.00000,0.06
219,11-Feb-2020,IN0020180041,GOI FRB 2031,50.00000,106000.00000,0.05
220,10-Feb-2020,IN0020110022,07.80 GS 2021,3958.63900,67492.66100,5.87
221,10-Feb-2020,IN0020180454,07.26 GS 2029,6263.33600,118830.80100,5.27
222,10-Feb-2020,IN0020140045,08.40 GS 2024,4167.54100,84426.00000,4.94
223,10-Feb-2020,IN0020150093,07.59 GS 2026,5811.82200,119000.00000,4.88
224,10-Feb-2020,IN0020070051,08.13 GS 2022,3433.10000,70495.28000,4.87
225,10-Feb-2020,IN0020170026,06.79 GS 2027,5818.52400,121000.00000,4.81
226,10-Feb-2020,IN0020020072,08.35 GS 2022,3674.19000,77000.00000,4.77
227,10-Feb-2020,IN0020190396,06.18 GS 2024,1230.50000,27873.84700,4.41
228,10-Feb-2020,IN0020160050,06.84 GS 2022,4355.83100,99000.00000,4.40
229,10-Feb-2020,IN0020140060,08.15 GS 2026,3591.08400,82963.84600,4.33
230,10-Feb-2020,IN0020110030,08.79 GS 2021,3587.72900,83000.00000,4.32
231,10-Feb-2020,IN0020190065,07.57 GS 2033,3507.77500,83506.57400,4.20
232,10-Feb-2020,IN0020120039,08.33 GS 2026,3603.26000,87000.00000,4.14
233,10-Feb-2020,IN0020190099,06.17 GS 2021,1385.00000,35000.00000,3.96
234,10-Feb-2020,IN0020190024,07.62 GS 2039,1278.63700,38150.90300,3.35
235,10-Feb-2020,IN0020070069,08.28 GS 2027,2819.69300,90000.72100,3.13
236,10-Feb-2020,IN0020020106,07.95 GS 2032,3666.97000,121000.00000,3.03
237,10-Feb-2020,IN0020150028,07.88 GS 2030,2636.66100,89000.00000,2.96
238,10-Feb-2020,IN0020160019,07.61 GS 2030,2941.94300,100989.43800,2.91
239,10-Feb-2020,IN0020120047,08.20 GS 2025,2227.11000,90000.00000,2.47
240,10-Feb-2020,IN0020120054,08.12 GS 2020,1197.69900,53673.54400,2.23
241,10-Feb-2020,IN0020110063,08.83 GS 2041,1857.40000,90000.00000,2.06
242,10-Feb-2020,IN0020140029,08.27 GS 2020,1065.50200,53907.57900,1.98
243,10-Feb-2020,IN0020090034,07.35 GS 2024,1163.46600,59653.01900,1.95
244,10-Feb-2020,IN0020170042,06.68 GS 2031,1738.75000,93251.70300,1.86
245,10-Feb-2020,IN0020140052,08.24 GS 2033,1841.81500,99275.00000,1.86
246,10-Feb-2020,IN0020150069,07.59 GS 2029,1650.98600,96236.79300,1.72
247,10-Feb-2020,IN0020050012,07.40 GS 2035,1591.50000,99245.00000,1.60
248,10-Feb-2020,IN0020160118,06.79 GS 2029,1547.83000,118801.12300,1.30
249,10-Feb-2020,IN0020140078,08.17 GS 2044,1249.51500,97000.00000,1.29
250,10-Feb-2020,IN0020120062,08.30 GS 2042,1282.64000,104529.44000,1.23
251,10-Feb-2020,IN0020070036,08.26 GS 2027,1140.20000,97726.61400,1.17
252,10-Feb-2020,IN0020150051,07.73 GS 2034,923.79000,100000.00000,0.92
253,10-Feb-2020,IN0020180470,07.00 GS 2021,286.20000,33000.00000,0.87
254,10-Feb-2020,IN0020160100,06.57 GS 2033,545.03000,66655.88700,0.82
255,10-Feb-2020,IN0020160035,06.97 GS 2026,736.09300,89743.39300,0.82
256,10-Feb-2020,IN0020160068,07.06 GS 2046,762.60000,100000.00000,0.76
257,10-Feb-2020,IN0020070044,08.32 GS 2032,678.80000,89434.05000,0.76
258,10-Feb-2020,IN0020190040,07.69 GS 2043,250.00000,37000.00000,0.68
259,10-Feb-2020,IN0020100031,08.30 GS 2040,602.25000,90000.00000,0.67
260,10-Feb-2020,IN0020060318,07.94 GS 2021,303.80000,49425.00000,0.61
261,10-Feb-2020,IN0020100015,07.80 GS 2020,307.93000,51181.08800,0.60
262,10-Feb-2020,IN0020150044,08.13 GS 2045,435.00000,98000.00000,0.44
263,10-Feb-2020,IN0020080050,06.83 GS 2039,52.50000,13000.00000,0.40
264,10-Feb-2020,IN0020160092,06.62 GS 2051,207.00000,55000.00000,0.38
265,10-Feb-2020,IN0020130053,09.20 GS 2030,220.05100,61884.55000,0.36
266,10-Feb-2020,IN0020060086,08.28 GS 2032,255.00000,90687.11000,0.28
267,10-Feb-2020,IN0020030014,06.30 GS 2023,35.00000,13000.00000,0.27
268,10-Feb-2020,IN0020010040,10.25 GS 2021,50.00000,26213.32000,0.19
269,10-Feb-2020,IN0020060045,08.33 GS 2036,139.01000,86000.00000,0.16
270,10-Feb-2020,IN0020092071,GOI FRB 2020,15.00000,13000.00000,0.12
271,10-Feb-2020,IN0020030055,06.17 GS 2023,10.70000,14000.00000,0.08
272,10-Feb-2020,IN0020190032,07.72 GS 2049,50.00000,84000.00000,0.06
273,10-Feb-2020,IN0020040039,07.50 GS 2034,63.50000,99101.13000,0.06
274,10-Feb-2020,IN0020180041,GOI FRB 2031,50.00000,106000.00000,0.05
275,07-Feb-2020,IN0020180454,07.26 GS 2029,6272.63600,118830.80100,5.28
276,07-Feb-2020,IN0020190362,06.45 GS 2029,4853.55000,95840.15700,5.06
277,07-Feb-2020,IN0020140045,08.40 GS 2024,4167.54100,84426.00000,4.94
278,07-Feb-2020,IN0020150093,07.59 GS 2026,5811.82200,119000.00000,4.88
279,07-Feb-2020,IN0020070051,08.13 GS 2022,3433.10000,70495.28000,4.87
280,07-Feb-2020,IN0020170026,06.79 GS 2027,5803.52400,121000.00000,4.80
281,07-Feb-2020,IN0020020072,08.35 GS 2022,3674.19000,77000.00000,4.77
282,07-Feb-2020,IN0020160050,06.84 GS 2022,4420.83100,99000.00000,4.47
283,07-Feb-2020,IN0020190396,06.18 GS 2024,1230.50000,27873.84700,4.41
284,07-Feb-2020,IN0020190099,06.17 GS 2021,1535.00000,35000.00000,4.39
285,07-Feb-2020,IN0020140060,08.15 GS 2026,3591.08400,82963.84600,4.33
286,07-Feb-2020,IN0020110030,08.79 GS 2021,3587.72900,83000.00000,4.32
287,07-Feb-2020,IN0020120039,08.33 GS 2026,3603.26000,87000.00000,4.14
288,07-Feb-2020,IN0020190065,07.57 GS 2033,3407.77500,83506.57400,4.08
289,07-Feb-2020,IN0020190024,07.62 GS 2039,1278.63700,38150.90300,3.35
290,07-Feb-2020,IN0020070069,08.28 GS 2027,2819.69300,90000.72100,3.13
291,07-Feb-2020,IN0020020106,07.95 GS 2032,3666.97000,121000.00000,3.03
292,07-Feb-2020,IN0020160019,07.61 GS 2030,2941.94300,100989.43800,2.91
293,07-Feb-2020,IN0020150028,07.88 GS 2030,2486.66100,89000.00000,2.79
294,07-Feb-2020,IN0020120047,08.20 GS 2025,2227.11000,90000.00000,2.47
295,07-Feb-2020,IN0020120054,08.12 GS 2020,1197.69900,53673.54400,2.23
296,07-Feb-2020,IN0020110063,08.83 GS 2041,1857.40000,90000.00000,2.06
297,07-Feb-2020,IN0020140029,08.27 GS 2020,1065.50200,53907.57900,1.98
298,07-Feb-2020,IN0020090034,07.35 GS 2024,1163.46600,59653.01900,1.95
299,07-Feb-2020,IN0020170042,06.68 GS 2031,1738.75000,93251.70300,1.86
300,07-Feb-2020,IN0020140052,08.24 GS 2033,1741.81500,99275.00000,1.75
301,07-Feb-2020,IN0020150069,07.59 GS 2029,1650.98600,96236.79300,1.72
302,07-Feb-2020,IN0020050012,07.40 GS 2035,1591.50000,99245.00000,1.60
303,07-Feb-2020,IN0020160118,06.79 GS 2029,1547.83000,118801.12300,1.30
304,07-Feb-2020,IN0020140078,08.17 GS 2044,1249.51500,97000.00000,1.29
305,07-Feb-2020,IN0020120062,08.30 GS 2042,1282.64000,104529.44000,1.23
306,07-Feb-2020,IN0020070036,08.26 GS 2027,1140.20000,97726.61400,1.17
307,07-Feb-2020,IN0020150051,07.73 GS 2034,923.79000,100000.00000,0.92
308,07-Feb-2020,IN0020180470,07.00 GS 2021,286.20000,33000.00000,0.87
309,07-Feb-2020,IN0020160035,06.97 GS 2026,736.09300,89743.39300,0.82
310,07-Feb-2020,IN0020160100,06.57 GS 2033,545.03000,66655.88700,0.82
311,07-Feb-2020,IN0020160068,07.06 GS 2046,762.60000,100000.00000,0.76
312,07-Feb-2020,IN0020070044,08.32 GS 2032,678.80000,89434.05000,0.76
313,07-Feb-2020,IN0020190040,07.69 GS 2043,250.00000,37000.00000,0.68
314,07-Feb-2020,IN0020100031,08.30 GS 2040,602.25000,90000.00000,0.67
315,07-Feb-2020,IN0020060318,07.94 GS 2021,303.80000,49425.00000,0.61
316,07-Feb-2020,IN0020100015,07.80 GS 2020,307.93000,51181.08800,0.60
317,07-Feb-2020,IN0020150044,08.13 GS 2045,435.00000,98000.00000,0.44
318,07-Feb-2020,IN0020080050,06.83 GS 2039,52.50000,13000.00000,0.40
